unixTime	strTime	tweetID	tweetText	lang	sentiment	isRT	sourceRT
1431149881.482134	Sat May  9 08:38:01 2015	596911987843571712	"RT @9NewsSyd: Ebola turns patient's blue eye green months after he was 'cured'. http:\/\/t.co\/mqRYC83UPb #9News http:\/\/t.co\/Tb2RG7GvfF"	en	-0.1	True	@9NewsSyd
1431149883.596687	Sat May  9 08:38:03 2015	596911998111092736	"Its the plague I know it. While we were all worried about ebola we should've been worried about Shelby'ola \ud83d\ude2d\ud83d\ude2d\ud83d\ude2d"	en	0.0	False	 
1431149890.481555	Sat May  9 08:38:10 2015	596912007837786112	"Liberia beats Ebola and learns from the crisis - Minneapolis Star Tribune http:\/\/t.co\/mRJhxNVzmF #google #health"	en	0.0	False	 
1431149890.865843	Sat May  9 08:38:10 2015	596912008072720384	"Liberia beats Ebola and learns from the crisis - Minneapolis Star Tribune http:\/\/t.co\/c1pb0qhOiP #google #health"	en	0.0	False	 
1431149903.1095	Sat May  9 08:38:23 2015	596912079833059328	"After 42days of no #Ebola cases recorded WHO declares #Liberia Ebola-free,MSF warns w cases still in #Guinea, #SierraLeone outbreak not over"	en	0.0	False	 
1431149906.217816	Sat May  9 08:38:26 2015	596912092445192192	"UN to begin polio and measles vaccinations as Ebola transmissions plummet in Liberia http:\/\/t.co\/pqssL1BREP"	en	0.0	False	 
1431149915.84892	Sat May  9 08:38:35 2015	596912131993260032	"RT @CBCNews: Liberia declared Ebola-free after 42 days without new case http:\/\/t.co\/LV6QAzKt5h http:\/\/t.co\/SarllVvYCr"	en	0.13636363636363635	True	@CBCNews
1431149924.071957	Sat May  9 08:38:44 2015	596912167749812224	"The Next Victims of Ebola http:\/\/t.co\/V5btvQIqLl"	en	0.0	False	 
1431149941.928203	Sat May  9 08:39:01 2015	596912241477169152	"I wish black people could catch Ebola"	en	-0.16666666666666666	False	 
1431149949.706825	Sat May  9 08:39:09 2015	596912274687791104	"RT @EconSciTech: Wonderful news from West Africa: Overall, the fight against the Ebola virus is being won http:\/\/t.co\/AYym9ITCcq http:\/\/t.c\u2026"	en	0.5	True	@EconSciTech
1431149957.74804	Sat May  9 08:39:17 2015	596912308070141952	"RT @smritikak: #Ebola gets more frightening \nCured of Ebola, doctor had virus in his eye http:\/\/t.co\/WiFYM66vfO http:\/\/t.co\/CNw58ycvpT"	en	0.0	True	@smritikak
1431149975.632156	Sat May  9 08:39:35 2015	596912379796946944	"RT @mor_maew: \u0e1c\u0e39\u0e49\u0e17\u0e35\u0e48\u0e15\u0e34\u0e14\u0e40\u0e0a\u0e37\u0e49\u0e2d\u0e2d\u0e35\u0e42\u0e1a\u0e25\u0e48\u0e32 \u0e40\u0e21\u0e37\u0e48\u0e2d\u0e23\u0e2d\u0e14\u0e15\u0e32\u0e22\u0e41\u0e25\u0e49\u0e27\u0e2a\u0e48\u0e27\u0e19\u0e19\u0e36\u0e07\u0e08\u0e30\u0e40\u0e01\u0e34\u0e14post ebola syndrome \u0e0b\u0e36\u0e48\u0e07\u0e40\u0e01\u0e34\u0e14\u0e15\u0e32\u0e1a\u0e2d\u0e14 \u0e2b\u0e39\u0e2b\u0e19\u0e27\u0e01 \u0e2d\u0e32\u0e01\u0e32\u0e23\u0e1b\u0e27\u0e14\u0e02\u0e49\u0e2d\u0e23\u0e38\u0e19\u0e41\u0e23\u0e07 \u0e21\u0e48\u0e32\u0e19\u0e15\u0e32\u0e2d\u0e31\u0e01\u0e40\u0e2a\u0e1a \u0e2f\u0e25\u0e2f\u2026"	en	0.0	True	@mor_maew
1431149985.433241	Sat May  9 08:39:45 2015	596912425040904192	"Ebola patient\u2019s strange symptom: His eye color\u00a0changes http:\/\/t.co\/aEbTd6EuxW"	en	-0.05	False	 
1431149985.580378	Sat May  9 08:39:45 2015	596912425393332224	"RT @RFI: Le Liberia s'appr\u00eate \u00e0 sortir du cauchemar Ebola http:\/\/t.co\/k8KP9RyMuT http:\/\/t.co\/1R6FIQOVPi"	en	0.0	True	@RFI
1431149987.189546	Sat May  9 08:39:47 2015	596912432246751232	"@JrenzP wat? ggraduate na mumay this sem e. ah loko ibang bansa, pag-uwi moko ebola"	en	0.0	False	 
1431149988.798672	Sat May  9 08:39:48 2015	596912436633993216	"RT @nytimes: A doctor was told he had been cured of Ebola. But the virus was lurking in his eye http:\/\/t.co\/gjRQV9oaid http:\/\/t.co\/QycvZ3ym\u2026"	en	0.0	True	@nytimes
1431149989.728378	Sat May  9 08:39:49 2015	596912439075196928	"@aparnapkin @kateberlant Ebola is now in eyeballs xo"	en	0.0	False	 
1431150000.585269	Sat May  9 08:40:00 2015	596912485850095616	"RT @SkyNews: Liberia Declared Free Of Deadly Ebola Virus http:\/\/t.co\/mc9v6SKcJb"	en	0.1	True	@SkyNews
1431150000.735377	Sat May  9 08:40:00 2015	596912488978984960	"RT @SkyNews: Liberia Declared Free Of Deadly Ebola Virus http:\/\/t.co\/mc9v6SKcJb"	en	0.1	True	@SkyNews
1431150003.461286	Sat May  9 08:40:03 2015	596912500488196096	"RT @9NewsSyd: Ebola turns patient's blue eye green months after he was 'cured'. http:\/\/t.co\/mqRYC83UPb #9News http:\/\/t.co\/Tb2RG7GvfF"	en	-0.1	True	@9NewsSyd
